title;description;url;image
Portfolio Website;A website built entirely in Python to showcase coding projects and apps.;https://github.com/Jclelayron/Portfolio;2.png
PDF Templates;A script that generates PDF templates of multiple pages given some predefined guidelines.;https://github.com/Jclelayron/TextToPDF;3.png
PDF Invoices;A script that reads invoice records from Excel files and automatically generates PDF invoices.;https://github.com/Jclelayron/PDFCreator;4.png
Positive News Site;A website that gets data from a news API and uses sentiment analysis to publish only positive news.;https://github.com/Jclelayron/DiaryTone;5.png
Weather API;A REST API built with Python and Flask to serve historical weather data for various cities.;https://https://github.com/Jclelayron/WeatherAPI;6.png
Open Domain Chatbot;A chatbot built that can discuss anything with a human and is built using the Facebook API.;https://github.com/Jclelayron/chatbot-gpt-ai;10.png
Webcam Motion Detector;A program that monitors the computer webcam and sends an email when a new object enters the view.;https://github.com/Jclelayron/WebcamMonitoringEmailAlertApp;11.png
Monitoring Data;A program that monitors a particular website and periodically records the data to a remote server.;https://github.com/Jclelayron/WeatherForecastDataApp;14.png
Visualizing Data;A program that visualizes the data collected in the previous monitoring program. ;https://github.com/Jclelayron/WeatherForecastDataApp;15.png
Visualizing Weather Forecast;A data web app that visualizes the weather forecast for the next five days of any city.;https://github.com/Jclelayron/WeatherForecastDataApp;16.png
Student Management System;A desktop PyQt6 GUI app for managing university student data with an SQL database backend.;https://https://github.com/Jclelayron/StudentManagementSystem;17.png
Restaurant Menu Web App;A Django web app to let customers see a restaurant menu and meal availability.;https://github.com/Jclelayron/django-restaurant_menu;19.png
Online Store;A Django online store app where users can place orders and sellers can manage them.;https://github.com/Jclelayron/django-form;20.png



